Transport_Protocol,Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class
2,0.53,0.725262759,28,86.91753748,56,49,189.2577616,77,0,1,1,1,0
2,0.04,0.725262759,27,86.91753748,55,161,189.2577616,189,0,1,1,1,0
1,0,0,0,0,96,0,0,0,0,2,0,0,1
1,16.02,11.94651429,0,78.43428571,1480,78769,59176.21143,81168,0,37,60,1.621621622,0
2,32.26,22.01,79,135.5,219,81,107.25,249,0,5,6,1.2,0
2,0.13,0.218568665,42,48.01844964,70,91,234.3900461,119,0,1,1,1,1
1,61.28,59.68460478,81,79.05514706,658,403,401.2490809,571,0,12,4,0.333333333,1
2,0.07,0.2640539,41,35.32282745,69,295,243.6849378,323,0,1,1,1,0
2,0.38,0.2640539,45,35.32282745,73,170,243.6849378,198,0,1,1,1,0
1,0,1.444,0,0,96,0,0,0,0,2,0,0,1
2,0.21,6.980769231,25,36.53846154,53,2,2.153846154,30,0,1,1,1,0
1,1.55,39.98,10493,24886,11477,13234,8089,14767,0,24,22,0.916666667,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
1,14.83,11.32536364,525,626.5454545,2085,88939,49553.83636,91419,0,39,62,1.58974359,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
2,0.01,0.218568665,56,48.01844964,84,772,234.3900461,800,0,1,1,1,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
2,32.65,8.412307692,75,40.38461538,159,2,2.461538462,30,0,3,1,0.333333333,0
1,0.02,48.82570156,0,16651.72383,80,0,7709.298441,40,0,2,1,0.5,1
1,0,2.03635274,0,0,96,0,0,0,0,2,0,0,1
1,0.16,0.16,0,0,96,0,0,40,0,2,1,0.5,1
1,2.98,2.98,0,0,96,0,0,0,0,2,0,0,1
1,0.01,2.453414634,1170,1001.739837,2916,310,487.8373984,558,0,14,6,0.428571429,1
2,0.05,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1,0
1,0.53,1.355411481,125,92.436188,413,6308,9696.138956,6636,0,7,8,1.142857143,1
1,0.17,0.187234043,149,149,469,2202,2202,2522,2351,6,6,1,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0,0.012398725,61,38.84084292,0,106,141.052849,0,0,0,0,0,1
1,0,1.993333333,0,0,96,0,0,0,0,2,0,0,1
1,0.19,0.196514286,393,1503.337143,681,4927,2319.577143,5215,0,7,7,1,1
2,11.2,11.2,50,50,106,0,0,0,0,2,0,0,0
1,100.82,23.97631841,118,151.0331675,806,29168,35953.04146,30096,0,17,23,1.352941176,0
1,0,1.93375,0,0,96,0,0,0,0,2,0,0,1
1,0,0.588,0,0,96,0,0,0,0,2,0,0,1
2,0.25,0.25,52,52,108,26,26,54,0,2,1,0.5,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.81,0.218568665,49,48.01844964,77,253,234.3900461,281,0,1,1,1,1
1,0.11,0.220902613,78,76.68171021,326,1515,2938.308789,1763,0,6,6,1,1
1,4.65,11.32536364,585,626.5454545,4265,223225,49553.83636,229705,0,92,162,1.760869565,1
2,0.06,0.2640539,33,35.32282745,61,165,243.6849378,193,0,1,1,1,0
2,0.1,0.725262759,34,86.91753748,62,50,189.2577616,78,0,1,1,1,0
1,3.01,2.685888689,0,14.15918612,96,0,0,0,0,2,0,0,1
1,0.74,10.64925,98,128.0125,546,16769,21334.475,17377,0,11,15,1.363636364,0
1,3,1.628115942,0,0,192,0,0,0,0,4,0,0,1
2,55.21,37.87619048,150,105.5714286,318,8,73.52380952,120,0,6,4,0.666666667,0
1,4.85,2.605589226,45,109.9848485,653,25627,11775.58249,26475,0,15,21,1.4,1
1,2.9,1.496907994,0,0,192,0,0,0,0,4,0,0,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
1,0.43,0.446086957,67,67.08695652,275,197,210.2463768,405,0,5,5,1,0
1,10.19,8.789032258,436,224.5483871,996,20596,9096.967742,21276,0,14,17,1.214285714,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
1,0.88,8.015,0,26,80,0,55117.5,80,0,2,2,1,1
2,0,0.012398725,38,38.84084292,66,89,141.052849,0,0,1,0,0,1
2,0.03,0.218568665,43,48.01844964,71,178,234.3900461,206,0,1,1,1,1
1,26.01,5.993250518,157,189.4513458,445,855,8629.656315,2206,0,7,12,1.714285714,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.01,0.218568665,53,48.01844964,81,176,234.3900461,204,0,1,1,1,1
1,3,1.735904059,0,0,192,0,0,0,0,4,0,0,1
1,0.72,12.10527778,43,27.01388889,123,0,64416.01389,80,0,2,2,1,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.56,0.2640539,45,35.32282745,73,111,243.6849378,139,0,1,1,1,0
1,0.47,7.02,0,45.27272727,80,0,84561.45455,40,0,2,1,0.5,0
2,0.1,0.2640539,29,35.32282745,57,498,243.6849378,526,0,1,1,1,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,2.94,1.268,0,0,96,0,0,0,0,2,0,0,1
1,0,1.44,0,0,96,0,0,0,0,2,0,0,1
2,55.75,36.31785714,175,118.3571429,371,338,175.2142857,534,0,7,7,1,0
2,0,0.839704755,58,106.0653595,114,271,392.7018256,299,0,2,1,0.5,1
1,2.25,10.64925,66,128.0125,554,17941,21334.475,18629,0,12,17,1.416666667,0
2,49.17,28.385,100,98.3,212,0,76.9,0,0,4,0,0,0
2,0.32,6.473056653,38,214.5072464,66,484,6596.981555,540,0,1,2,2,1
2,14.35,11.83416667,50,44.75,106,0,13.66666667,0,0,2,0,0,0
1,0.63,0.395,70,35,478,16478,8239,17006,0,10,13,1.3,1
1,0.5,1.355411481,115,92.436188,363,3241,9696.138956,3489,0,6,6,1,0
2,13.06,5.888571429,50,42.85714286,106,4,102.2857143,60,0,2,2,1,0
1,0.53,1.166,109,158.5,637,20648,15772.9,21412,0,13,19,1.461538462,0
2,15.94,11.546,50,45,106,2,2.6,30,0,2,1,0.5,0
2,0.17,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1,0
1,105.32,37.82345277,3113,1359.527687,6673,121719,40195.32248,126519,0,89,120,1.348314607,1
1,0.18,0.96037037,433,418,641,960,7174.074074,1168,433,5,5,1,1
1,0,0,0,0,40,0,0,40,0,1,1,1,0
1,13.5,15.81794872,466,305.5384615,786,3798,7423.692308,4398,0,8,15,1.875,0
1,0.02,4.472957075,307,299.1844197,915,1787,8592.470588,4710,0,15,28,1.866666667,1
1,0.77,4.74043956,0,95.53846154,88,0,6509.615385,48,0,2,1,0.5,0
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.07,5.206059655,44,2138.502355,72,532,8946.871272,588,0,1,2,2,0
1,41.29,32.51860724,1568,460.0612813,3336,25379,12354.0585,27907,0,44,63,1.431818182,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.45,0.45,22,22,54,22,22,50,0,1,1,1,0
1,100.2,5.082442105,798,249.7873684,2046,48772,6848.221053,101080,0,31,88,2.838709677,1
2,0,1.63525,54,491.95,110,76,777.7,104,0,2,1,0.5,1
1,2.82,2.13915212,0,137.5860349,80,0,10966.61097,0,0,2,0,0,1
1,0.22,0.330762916,156,149.8961854,424,1287,1257.438918,1555,1443,5,5,1,1
2,0.01,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
2,54.92,36.725,150,109.875,318,10,37.125,150,0,6,5,0.833333333,0
2,0.1,0.102,52,52,108,0,0,0,0,2,0,0,0
2,0.27,0.725262759,31,86.91753748,59,76,189.2577616,104,0,1,1,1,0
2,8.19,8.066666667,25,37.5,53,2,1.666666667,30,0,1,1,1,0
1,5.47,5.24,565,448,733,782,917,1768,0,4,5,1.25,1
2,48.88,36.59,84905,69559.42857,87313,2048,1926.285714,4512,0,86,88,1.023255814,0
1,0.35,0.330762916,155,149.8961854,423,1203,1257.438918,1471,1358,5,5,1,1
1,0.13,0.107575758,453,462.1212121,773,1261,4462.212121,1529,453,6,5,0.833333333,1
1,3,1.495789474,0,0,192,0,0,0,0,4,0,0,1
2,0.04,0.218568665,53,48.01844964,81,178,234.3900461,206,0,1,1,1,0
1,0.94,3.495,59,53.5,267,275,3875.166667,483,0,5,5,1,1
1,13.23,31.41504798,230,356.4587332,678,11828,28422.38964,12392,0,11,14,1.272727273,1
2,21.7,25.94416667,75,85.41666667,159,6,39.08333333,90,0,3,3,1,0
2,0.16,0.2640539,33,35.32282745,61,259,243.6849378,287,0,1,1,1,0
1,0.47,0.496534653,63,63.71287129,271,516,516.3663366,724,0,5,5,1,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,0.7,2.249166667,103,79.16666667,183,1365,1614.416667,1405,0,2,1,0.5,0
1,3,1.47622449,0,0,192,0,0,0,0,4,0,0,1
2,0.02,0.012398725,27,38.84084292,55,468,141.052849,0,0,1,0,0,1
1,3.61,3.596875,80,80,220,273,273,124,80,5,3,0.6,0
1,4.27,14.37256959,0,281.7012848,160,0,10392.83084,0,0,4,0,0,0
1,0.09,0.066666667,1190,1098.333333,1638,188,188,716,0,11,13,1.181818182,0
1,0,0.31244186,0,0,60,0,0,80,0,1,2,2,1
1,3.44,6.309191919,149,144.6136364,357,495,4742.222222,623,0,5,3,0.6,1
1,0.49,1.301702128,62,61.73758865,310,4288,12689.92908,4536,0,6,6,1,1
1,0.23,0.335693046,160,149.9625899,428,1286,1259.629736,1554,1446,5,5,1,1
1,16.11,15.23621951,2796,1587.390244,4996,67708,41895.29268,69908,0,55,55,1,1
2,0.31,8.759285714,25,39.28571429,53,2,2.571428571,30,0,1,1,1,0
2,0.04,0.218568665,41,48.01844964,69,447,234.3900461,475,0,1,1,1,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
1,2.95,1.983333333,0,0,192,0,0,0,0,4,0,0,1
2,0.01,0.218568665,45,48.01844964,73,178,234.3900461,206,0,1,1,1,1
2,0.11,0.725262759,23,86.91753748,51,79,189.2577616,107,0,1,1,1,0
1,189.12,5.128403869,146,32.81559855,1412,0,0,192,0,13,4,0.307692308,1
1,3.01,2.685888689,0,14.15918612,96,0,0,0,0,2,0,0,1
1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
1,180.97,180.97,2930,2930,4542,1172,1172,1452,0,11,7,0.636363636,1
2,11.07,21.65285714,50,91.85714286,106,0,12.35714286,0,0,2,0,0,0
1,0,0.968533937,0,57.59728507,80,1250,1128.150226,1410,0,2,4,2,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
2,33.93,26.39888889,106,90.77777778,302,81,210.8888889,249,0,7,6,0.857142857,0
1,0.25,0.454064516,165,161.3032258,172,418,1726.567742,124,583,4,3,0.75,0
1,3.01,2.03635274,0,0,96,0,0,0,0,2,0,0,1
2,55.74,35.36137931,150,114.2068966,318,12,57.5862069,180,0,6,6,1,0
2,23.41,32.01777778,75,98.07407407,159,6,77.40740741,90,0,3,3,1,0
2,0.49,6.385822222,36,334.3392593,64,306,11277.13185,362,0,1,2,2,1
1,0,2.026853933,0,0,96,0,0,0,0,2,0,0,1
2,0.12,0.2640539,24,35.32282745,52,298,243.6849378,326,0,1,1,1,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,0.01,7.035222672,41,204.537112,369,68,7085.446694,792,0,8,16,2,1
1,0,0.380253623,0,0,60,0,0,80,0,1,2,2,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,9.89,9.89,420,420,628,763,763,1690,0,5,4,0.8,1
2,0.09,0.218568665,44,48.01844964,72,121,234.3900461,149,0,1,1,1,1
2,0.1,0.725262759,29,86.91753748,57,109,189.2577616,137,0,1,1,1,0
1,0.32,0.335693046,155,149.9625899,423,1291,1259.629736,1559,1446,5,5,1,1
1,73.95,9.659849624,675,309.4323308,3795,170394,285377.0677,175594,0,78,130,1.666666667,0
1,0.21,3.07276,109,78.344,357,1434,5332.72,1682,0,6,6,1,1
1,0.15,2.790571809,0,0,48,0,0,40,0,1,1,1,1
1,9.81,18.6816,212,103,1380,54600,17932.88,56328,0,29,43,1.482758621,0
2,0.27,0.012398725,33,38.84084292,61,206,141.052849,0,0,1,0,0,1
2,30.28,29.7625,31,67,143,52,73.75,136,0,4,3,0.75,0
2,0.08,0.2640539,25,35.32282745,53,483,243.6849378,511,0,1,1,1,0
2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
2,22.48,35.4265625,79,101.75,219,56,61.28125,196,0,5,5,1,0
1,4.19,2.295,0,0,192,0,0,80,0,4,2,0.5,1
2,0.01,0.218568665,60,48.01844964,88,572,234.3900461,600,0,1,1,1,1
2,33.29,24.89222222,100,86.22222222,212,8,40.77777778,120,0,4,4,1,0
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
1,0.25,0.330762916,118,149.8961854,386,1289,1257.438918,1557,1407,5,5,1,1
1,0.24,1.297017544,145,152.3245614,473,8421,11902.04386,8829,0,8,10,1.25,0
1,100.71,52.59214286,157,625.5714286,485,4657,39172.92857,4985,0,8,8,1,0
2,0.02,0.218568665,41,48.01844964,69,447,234.3900461,475,0,1,1,1,0
2,0.49,0.218568665,47,48.01844964,75,108,234.3900461,136,0,1,1,1,1
2,0.05,0.218568665,57,48.01844964,85,473,234.3900461,501,0,1,1,1,1
1,3,3,0,0,192,0,0,0,0,4,0,0,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,0.89,1.484672269,36,35.89915966,924,45497,44142.81681,46945,0,22,36,1.636363636,1
2,0,0.012398725,34,38.84084292,62,82,141.052849,0,0,1,0,0,1
2,0,0.012398725,61,38.84084292,0,106,141.052849,0,0,0,0,0,1
2,0.25,0.162857143,70,83.71428571,126,226,348.5714286,254,0,2,1,0.5,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,2.73,10.082,25,36.8,53,2,25.1,30,0,1,1,1,0
1,5.81,5.619295775,1799,1735.323944,4371,3109,3081.028169,10082,0,64,96,1.5,1
2,33.49,39.84944444,100,112.7222222,212,8,22.72222222,120,0,4,4,1,0
1,1.51,29.91466667,370,387.4,738,12596,24036.13333,13004,0,9,10,1.111111111,0
2,0.54,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1,0
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
1,3,3.001323529,0,0,120,0,0,0,0,2,0,0,1
1,0.68,0.358676043,157,149.6818623,425,1286,1259.152764,1554,1443,5,5,1,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
1,130.29,17.95276596,281,165.4680851,1161,31724,21848.57447,32847,0,22,28,1.272727273,0
1,2.23,8.052634561,91,359.6515581,619,13288,18664.98017,14092,0,13,20,1.538461538,0
1,7.75,15.51025641,282,717.4358974,490,539,1194.794872,667,0,5,3,0.6,1
1,0,2.326666667,0,0,96,0,0,0,0,2,0,0,1
1,17.44,22.34588957,956,1092.886503,15464,924076,1176226.491,929776,0,355,660,1.85915493,1
1,3.01,2.026020942,0,0,96,0,0,0,0,2,0,0,1
1,0.29,0.537827298,85,84.34818942,333,1451,3338.690808,1699,0,6,6,1,1
2,0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0,1
2,0.01,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,3.01,2.889606299,0,0,96,0,0,0,0,2,0,0,1
1,1.08,1.08,0,0,336,0,0,128,0,8,3,0.375,1
1,0.11,3.072083333,0,69.83333333,80,0,11269,80,0,2,2,1,1
2,0.02,0.218568665,45,48.01844964,73,406,234.3900461,434,0,1,1,1,1
2,0.71,0.218568665,43,48.01844964,71,143,234.3900461,171,0,1,1,1,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
2,0.01,0.218568665,46,48.01844964,74,246,234.3900461,274,0,1,1,1,1
1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,11.21,4.847647059,89,74.23529412,1425,62913,42031.29412,64801,0,32,47,1.46875,0
1,3,1.486076555,0,0,192,0,0,0,0,4,0,0,1
2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
1,3.01,2.462196399,0,23.57119476,96,0,13.67954173,0,0,2,0,0,1
1,3,1.5,0,0,192,0,0,0,0,4,0,0,1
2,44.18,32.20285714,75,89.71428571,159,0,30.57142857,0,0,3,0,0,0
1,0.46,0.496534653,63,63.71287129,271,516,516.3663366,724,0,5,5,1,1
1,0.65,5.265,63,67.25,143,0,6873.875,80,0,2,2,1,0
2,0.48,0.48,48,48,104,123,123,151,0,2,1,0.5,1
1,0,2.15,0,121.3333333,40,0,10886,40,0,1,1,1,0
1,3.01,1.505,0,0,192,0,0,0,0,4,0,0,1
1,0.15,0.159373278,0,0,96,0,0,40,0,2,1,0.5,1
1,1.18,5.851578947,78,227.1929825,406,7983,31610.75439,8399,0,8,10,1.25,1
1,0.54,1.360410959,70,83.79452055,438,11403,30601.13699,11851,0,9,11,1.222222222,0
2,47.47,32.6630303,125,97.09090909,265,10,44.72727273,150,0,5,5,1,0
2,0.29,0.725262759,25,86.91753748,53,65,189.2577616,93,0,1,1,1,0
2,21.76,26.975,4,6,60,50,62.5,106,0,2,2,1,0
1,2.95,1.95,0,0,192,0,0,0,0,4,0,0,1
1,0.69,1.303388704,0,75.07973422,40,0,2408.475083,40,0,1,1,1,0
1,2.96,1.617311828,0,0,192,0,0,0,0,4,0,0,1
2,0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0,1
1,0.89,0.904045894,245,243.5615942,929,13196,9547.653986,13672,4499,13,9,0.692307692,1
1,8.27,48.82570156,2,16651.72383,2980,77381,7709.298441,78989,0,74,40,0.540540541,1
2,0,0.012398725,34,38.84084292,62,98,141.052849,0,0,1,0,0,1
1,3.65,3.509455041,80,77.38419619,220,273,264.0735695,124,80,5,3,0.6,0
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
1,0.01,0.587868852,858,708.5901639,1150,6476,19971.39344,6768,3778,7,7,1,1
2,22.4,25.13625,79,88.875,219,81,171.125,249,0,5,6,1.2,0
1,0.08,1.55969697,0,309.3939394,120,1547,8682.69697,1747,0,3,5,1.666666667,0
2,0.6,23.72233333,88,422.6666667,144,0,0,0,0,2,0,0,1
1,0,1.5,0,0,96,0,0,0,0,2,0,0,1
2,13.71,0.725262759,1261,86.91753748,2297,2336,189.2577616,3316,0,37,35,0.945945946,0
1,0.27,0.335693046,118,149.9625899,386,1286,1259.629736,1554,1404,5,5,1,1
2,22.76,26.15333333,77,70.33333333,189,31,14.44444444,143,0,4,4,1,0
1,0.83,0.904045894,244,243.5615942,772,9094,9547.653986,9518,244,10,8,0.8,1
1,0.55,1.66173913,95,87.2173913,303,551,3180.869565,759,0,5,5,1,1
2,1.03,0.725262759,68,86.91753748,124,50,189.2577616,78,0,2,1,0.5,0
1,1.37,1.355411481,99,92.436188,307,593,9696.138956,801,0,5,5,1,0
2,22.53,32.955,79,102.5833333,219,54,55.08333333,166,0,5,4,0.8,0
1,0.23,0.334925373,694,679.5124378,902,639,620.920398,847,0,5,5,1,1
2,0.03,0.725262759,31,86.91753748,59,52,189.2577616,80,0,1,1,1,0
2,0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0,1
